Percentiles,test,t
0.036783753842053096,B 10G,22700
0.037050302782937534,B 10G,22800
0.03729186276061406,B 10G,22900
0.03752509308388795,B 10G,23000
0.037758323407161835,B 10G,23100
0.03803320200244892,B 10G,23200
0.038274761980125444,B 10G,23300
0.038524651612204606,B 10G,23400
0.038757881935478494,B 10G,23500
0.039041090185168215,B 10G,23600
0.039265990854039465,B 10G,23700
0.039549199103729185,B 10G,23800
0.03979075908140571,B 10G,23900
0.04001565975027696,B 10G,24000
0.04027387903675877,B 10G,24100
0.04050710936003265,B 10G,24200
0.04075699899211182,B 10G,24300
0.04098189966098307,B 10G,24400
0.04126510791067279,B 10G,24500
0.04149000857954403,B 10G,24600
0.04174822786602584,B 10G,24700
0.04198145818929973,B 10G,24800
0.04223134782137889,B 10G,24900
0.04251455607106861,B 10G,25000
0.0427477863943425,B 10G,25100
0.04299767602642166,B 10G,25200
0.04323090634969555,B 10G,25300
0.04348079598177471,B 10G,25400
0.043722355959451245,B 10G,25500
0.04399723455473832,B 10G,25600
0.04425545384122013,B 10G,25700
0.044488684164494016,B 10G,25800
0.04473024414217054,B 10G,25900
0.04497180411984707,B 10G,26000
0.045205034443120955,B 10G,26100
0.045488242692810675,B 10G,26200
0.0457298026704872,B 10G,26300
0.04598802195696901,B 10G,26400
0.046221252280242896,B 10G,26500
0.046487801221127334,B 10G,26600
0.046712701889998584,B 10G,26700
0.04696259152207775,B 10G,26800
0.04722914046296219,B 10G,26900
0.04746237078623608,B 10G,27000
0.04771226041831524,B 10G,27100
0.047962150050394406,B 10G,27200
0.04822869899127885,B 10G,27300
0.048470258968955376,B 10G,27400
0.04867850032902135,B 10G,27500
0.04897003823311371,B 10G,27600
0.049211598210790235,B 10G,27700
0.04942816922525885,B 10G,27800
0.04967805885733801,B 10G,27900
0.04994460779822245,B 10G,28000
0.050202827084704256,B 10G,28100
0.050436057407978144,B 10G,28200
0.05067761738565467,B 10G,28300
0.05095249598094175,B 10G,28400
0.051202385613020915,B 10G,28500
0.051427286281892165,B 10G,28600
